rank,client_hash_id,content_hash_id,action_score,predicted_label,model_confidence,reason_code,action_label,total_impressions,clicks_a,ctr,avg_position,position_volatility,active_gsc_days,volume_tier
43,client_9958f0a7ae1df715,content_779bd11aca82c92d,96.41,declining,0.9633333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,11125.0,111.0,0.01,10.11,10.37,92,high
44,client_23a62021009f63c4,content_eb578aae551f1047,96.4,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,16951.0,179.0,0.0106,8.71,3.54,92,high
45,client_23a62021009f63c4,content_ac9144062f5cc83f,96.38,declining,0.94,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,31124.0,240.0,0.0077,8.98,4.72,92,high
46,client_9958f0a7ae1df715,content_6e74280277dc6d99,96.38,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7403.0,78.0,0.0105,7.26,9.08,91,high
47,client_9958f0a7ae1df715,content_cc417d085a5dc50b,96.37,declining,0.9366666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,49818.0,539.0,0.0108,5.65,9.42,92,high
48,client_9958f0a7ae1df715,content_2f858bdb52beb802,96.37,declining,0.95,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,19751.0,18.0,0.0009,16.36,16.87,92,high
49,client_9958f0a7ae1df715,content_682f806f952fb031,96.31,declining,0.9933333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,4859.0,42.0,0.0086,12.97,16.19,91,high
50,client_23a62021009f63c4,content_fe90733c0be336f9,96.27,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,15035.0,230.0,0.0153,13.31,6.74,92,high
51,client_9958f0a7ae1df715,content_fb61c888f78b143f,96.27,declining,0.96,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,11407.0,20.0,0.0018,21.22,16.65,92,high
52,client_23a62021009f63c4,content_39c8a8e7e8865389,96.22,declining,0.9666666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,8998.0,192.0,0.0213,8.74,11.59,90,high
53,client_23a62021009f63c4,content_7d76f942b7a7f8d2,96.2,declining,0.9933333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,4660.0,41.0,0.0088,19.06,16.9,92,high
54,client_9958f0a7ae1df715,content_aa8b37d7122f4286,96.16,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5318.0,40.0,0.0075,13.92,18.76,90,high
55,client_23a62021009f63c4,content_ab3b0830f3a1812e,96.15,declining,0.9366666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,29090.0,200.0,0.0069,7.82,5.99,92,high
56,client_23a62021009f63c4,content_0cd3b1ec384cb6eb,96.14,declining,0.9333333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,41432.0,185.0,0.0045,7.45,4.0,92,high
57,client_9958f0a7ae1df715,content_d8288f22519f7d53,96.13,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,133246.0,865.0,0.0065,7.8,4.82,92,high
58,client_23a62021009f63c4,content_b1dac7c3188445cf,96.11,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7130.0,51.0,0.0072,16.79,13.63,92,high
59,client_23a62021009f63c4,content_ae983c22be57a0b9,96.1,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,86202.0,997.0,0.0116,11.96,11.96,92,high
60,client_73cda7b4e4f265ea,content_6c5271a830658293,96.1,declining,0.9833333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5574.0,16.0,0.0029,21.17,18.47,91,high
61,client_9958f0a7ae1df715,content_8b84ff993e9ba099,96.08,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7019.0,45.0,0.0064,17.98,14.73,92,high
62,client_23a62021009f63c4,content_7a90854e43e5259b,96.07,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,6420.0,80.0,0.0125,6.99,11.01,91,high
63,client_9958f0a7ae1df715,content_336125a54dcd49e5,96.03,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7466.0,29.0,0.0039,12.88,14.94,90,high
64,client_9958f0a7ae1df715,content_515a1d5cbb1d5442,96.01,declining,0.9433333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,19925.0,95.0,0.0048,9.22,4.83,92,high
65,client_9958f0a7ae1df715,content_2112974a5bd2faa2,95.98,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,44565.0,645.0,0.0145,6.32,3.39,92,high
66,client_9958f0a7ae1df715,content_5b16e57e4d5b6259,95.95,declining,0.9266666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,149585.0,305.0,0.002,14.34,15.36,92,high
67,client_9958f0a7ae1df715,content_203733aa8732019e,95.93,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7139.0,67.0,0.0094,14.24,19.12,91,high
68,client_9958f0a7ae1df715,content_c9ce753c8a62b0f9,95.88,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5920.0,42.0,0.0071,12.74,12.49,92,high
69,client_23a62021009f63c4,content_98123b029113fa39,95.87,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,33758.0,166.0,0.0049,4.5,3.74,92,high
70,client_9958f0a7ae1df715,content_7b2651fcb509dc0d,95.87,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5907.0,40.0,0.0068,17.13,18.77,92,high
71,client_9958f0a7ae1df715,content_d2d13fb0f0dd11c2,95.84,declining,0.9266666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,53805.0,280.0,0.0052,4.48,4.12,92,high
72,client_9958f0a7ae1df715,content_d0595f96be4923bd,95.82,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5355.0,20.0,0.0037,15.4,15.49,92,high
73,client_9958f0a7ae1df715,content_ce8a882f4228911c,95.81,declining,0.9433333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,16362.0,199.0,0.0122,10.34,8.17,92,high
